Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,รายละเอียดการชำระ ลูกค้ากลุ่มบริษัท เดือน มีนาคม  2569,,,,
,ลำดับ,ลูกค้า/รายการ,ยอดค้างชำระ,,วันที่ชำระ
,1,บ.คินวอง ค่าเช่า เมษายน 2569,0,0.0,2569-04-10 00:00:00
,2,บ.คินวอง ประกัน + ล่วงหน้า (เพิ่ม) ห้อง3004 เปลี่ยนจาก Studio เป็น Suite 1/3/2569,0,0.0,2569-04-10 00:00:00
,3,บ.คินวอง ประกัน + ล่วงหน้า  Studio 10 ห้อง เข้าพัก 31/3/69 ห้อง5021 - 5030,0,0.0,2569-04-10 00:00:00
,4,บ.ไชน่าสเตท Kingwong Site ค่าเช่า  มี.ค 2569,0,0.0,2569-04-07 00:00:00
,5,บ.ไชน่าสเตท Aohong Site ค่าเช่า มี.ค 2569,0,,2569-04-07 00:00:00
,6,บ.ฟาร์อีส ค่าเช่า มี.ค 2569,0,0.0,2569-04-07 00:00:00
,7,บ.เดลทัล ค่าเช่า มี.ค 2569,0,,2569-04-07 00:00:00
,8,บ.สกายเคม ค่าเช่า มี.ค 2569,0,0.0,2569-04-02 00:00:00
,9,บ.บ่อทองอินดัสทรี ค่าเช่า มี.ค 2569,0,0.0,2569-04-03 00:00:00
,10,บ.หัวเฉิง ค่าเช่า มี.ค 2569,0,,2569-03-28 00:00:00
,11,"อู้ฟู่ชา, ร้านอาหารตามสั่ง, 1023 (ใช้เข้าห้องน้ำ)",0,,2569-04-02 00:00:00
,12,บ.ไท่ซาน ค่าเช่า มี.ค 2569,0,,2569-04-06 00:00:00
,13,บ.เซียวเซียงนัน ค่าเช่า มี.ค 2569,0,,2569-04-07 00:00:00
,14,บ.ไสออนนน์ ค่าเช่า  มี.ค 2569,0,,2569-04-03 00:00:00
,15,บ.เฟยจิน ค่าเช่า  มี.ค 2569,0,,2569-04-02 00:00:00
,16,บ.ไปหลง ค่าเช่า  มี.ค 2569,0,,2569-04-01 00:00:00
,17,บ.กว่างโจว ค่าเช่า มี.ค 2569,0,,2569-03-27 00:00:00
,18,บ.เมกะ ค่าเช่า มี.ค 2569,0,,2569-04-02 00:00:00
,19,บ.อีสเทิร์นไนส์ ค่าเช่า มี.ค 2569,0,,2569-04-06 00:00:00
,20,บ.บายมิ่ง ค่าเช่า  มี.ค 2569,0,,2569-04-03 00:00:00
,21,บ.ยูโลจี ค่าเช่า มี.ค 2569,0,,2569-04-01 00:00:00
,22,บ.ยู่เฟิง ค่าเช่า มี.ค 2569,0,,2569-04-01 00:00:00
,23,บ.ไท่เต๋อฝู ค่าเช่า มี.ค 2569,0,,2569-04-11 00:00:00
,24,บ.ไทยเตียว ค่าเช่า มี.ค 2569,0,,2569-04-02 00:00:00
,25,บ.ดาวู ค่าเช่า มี.ค 2569,0,,2569-03-27 00:00:00
,26,บ.ไทซิง ค่าเช่า มี.ค 2569,0,,2569-04-03 00:00:00
,27,บ.สาร์ฮับ ค่าเช่า มี.ค 2569,0,,2569-03-27 00:00:00
,28,บ.จงเคอ มี.ค 2569,0,,2569-03-29 00:00:00
,29,บ.Aghong ค่าเช่า มี.ค 2569,0,,2569-04-09 00:00:00
,30,บ.ซีโน - สิ่งแวดล้อม ค่าเช่า มี.ค 2569,0,,2569-03-28 00:00:00
,31,บ.แอท ฟาร์มชัวร์ (ร้านมินิมาร์ท) ค่าน้ำ - ค่าไฟ  มี.ค 2569,0,,2569-03-28 00:00:00
,รวม,,0,,
