Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,รายละเอียดการชำระ ลูกค้ากลุ่มบริษัท เดือน เมษายน  2569,,,,
,ลำดับ,ลูกค้า/รายการ,ยอดค้างชำระ,,วันที่ชำระ
,1,บ.คินวอง ค่าเช่า พ.ค 2569,409262.33,0.0,ค้างชำระ
,4,บ.ไชน่าสเตท Kingwong Site ค่าเช่า  เม.ย 2569,0,0.0,2569-05-13 00:00:00
,5,บ.ไชน่าสเตท Aohong Site ค่าเช่า เม.ย 2569,0,,2569-05-11 00:00:00
,6,บ.ฟาร์อีส ค่าเช่า เม.ย 2569,0,0.0,2569-04-30 00:00:00
,7,บ.เดลทัล ค่าเช่า เม.ย 2569,0,,2569-05-06 00:00:00
,8,บ.สกายเคม ค่าเช่า เม.ย 2569,0,0.0,2569-04-29 00:00:00
,9,บ.บ่อทองอินดัสทรี ค่าเช่า เม.ย 2569,0,0.0,2569-05-06 00:00:00
,10,บ.หัวเฉิง ค่าเช่า เม.ย 2569,0,,2569-04-29 00:00:00
,11,"อู้ฟู่ชา, ร้านอาหารตามสั่ง, 1023 (ใช้เข้าห้องน้ำ)",0,,2569-04-30 00:00:00
,12,บ.ไท่ซาน ค่าเช่า เม.ย 2569,0,,2569-05-05 00:00:00
,13,บ.เซียวเซียงนัน ค่าเช่า เม.ย 2569,0,,2569-04-30 00:00:00
,14,บ.ไสออนนน์ ค่าเช่า  เม.ย 2569,0,,2569-05-05 00:00:00
,15,บ.เฟยจิน ค่าเช่า  เม.ย 2569,0,,2569-05-04 00:00:00
,16,บ.ไปหลง ค่าเช่า  เม.ย 2569 (คงเหลือต้องชำระเพิ่ม),0,,12&16/5/2569
,17,บ.กว่างโจว ค่าเช่า เม.ย 2569,0,,29-30/4/2569
,18,บ.เมกะ ค่าเช่า เม.ย 2569,0,,2569-05-02 00:00:00
,19,บ.อีสเทิร์นไนส์ (ร้านอาหารจีน)  ค่าเช่า เม.ย 2569,0,,2569-05-16 00:00:00
,20,บ.บายมิ่ง ค่าเช่า  เม.ย 2569,0,,2569-05-07 00:00:00
,21,บ.ยูโลจี ค่าเช่า เม.ย 2569,0,,2569-05-03 00:00:00
,22,บ.ยู่เฟิง ค่าเช่า เม.ย 2569,0,,2569-04-30 00:00:00
,23,บ.ไทยเตียว ค่าเช่า เม.ย 2569,0,,2569-05-03 00:00:00
,24,บ.ดาวู ค่าเช่า เม.ย 2569,0,,2569-05-04 00:00:00
,25,บ.ไทซิง ค่าเช่า เม.ย 2569,0,,2569-05-02 00:00:00
,26,บ.สาร์ฮับ ค่าเช่า เม.ย 2569,0,,2569-04-29 00:00:00
,27,บ.จงเคอ เม.ย 2569,0,,2569-04-29 00:00:00
,28,บ.Aghong ค่าเช่า เม.ย 2569,0,,เงินสด 11/5/2569
,29,บ.ซีโน - สิ่งแวดล้อม ค่าเช่า เม.ย 2569,0,,เงินสด 11/5/2569
,30,บ.แอท ฟาร์มชัวร์ (ร้านมินิมาร์ท) ค่าน้ำ - ค่าไฟ เม.ย 2569,0,,2569-04-29 00:00:00
,รวม,,409262.33,,
