Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,รายละเอียดการชำระ ลูกค้ากลุ่มบริษัท เดือน เมษายน  2569,,,,
,ลำดับ,ลูกค้า/รายการ,ยอดค้างชำระ,,วันที่ชำระ
,1,บ.คินวอง ค่าเช่า พ.ค 2569,,,
,4,บ.ไชน่าสเตท Kingwong Site ค่าเช่า  เม.ย 2569,,,
,5,บ.ไชน่าสเตท Aohong Site ค่าเช่า เม.ย 2569,,,
,6,บ.ฟาร์อีส ค่าเช่า เม.ย 2569,,,
,7,บ.เดลทัล ค่าเช่า เม.ย 2569,,,
,8,บ.สกายเคม ค่าเช่า เม.ย 2569,,,
,9,บ.บ่อทองอินดัสทรี ค่าเช่า เม.ย 2569,,,
,10,บ.หัวเฉิง ค่าเช่า เม.ย 2569,,,
,11,"อู้ฟู่ชา, ร้านอาหารตามสั่ง, 1023 (ใช้เข้าห้องน้ำ)",,,
,12,บ.ไท่ซาน ค่าเช่า เม.ย 2569,,,
,13,บ.เซียวเซียงนัน ค่าเช่า เม.ย 2569,,,
,14,บ.ไสออนนน์ ค่าเช่า  เม.ย 2569,,,
,15,บ.เฟยจิน ค่าเช่า  เม.ย 2569,,,
,16,บ.ไปหลง ค่าเช่า  เม.ย 2569,,,
,17,บ.กว่างโจว ค่าเช่า เม.ย 2569,,,
,18,บ.เมกะ ค่าเช่า เม.ย 2569,,,
,19,บ.อีสเทิร์นไนส์ ค่าเช่า เม.ย 2569,,,
,20,บ.บายมิ่ง ค่าเช่า  เม.ย 2569,,,
,21,บ.ยูโลจี ค่าเช่า เม.ย 2569,,,
,22,บ.ยู่เฟิง ค่าเช่า เม.ย 2569,,,
,23,บ.ไทยเตียว ค่าเช่า เม.ย 2569,,,
,24,บ.ดาวู ค่าเช่า เม.ย 2569,,,
,25,บ.ไทซิง ค่าเช่า เม.ย 2569,,,
,26,บ.สาร์ฮับ ค่าเช่า เม.ย 2569,,,
,27,บ.จงเคอ เม.ย 2569,,,
,28,บ.Aghong ค่าเช่า เม.ย 2569,,,
,29,บ.ซีโน - สิ่งแวดล้อม ค่าเช่า เม.ย 2569,,,
,30,บ.แอท ฟาร์มชัวร์ (ร้านมินิมาร์ท) ค่าน้ำ - ค่าไฟ เม.ย 2569,,,
,31,บ.ยูไท่ ห้อง4043 ค่าเช่า พ.ค 2569,,,
,รวม,,0,,
