Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,ค้างชำระ เดือน  ต.ค / พ.ย 68,,,,
,ลำดับ,ลูกค้า,ยอด,,วันที่ชำระ
,1,บริษัท ไชน่าสเตท (Kinwong Site) ค่าเช่า เดือน ตุลาคม 2568,0,0.0,2568-11-19 00:00:00
,2,บริษัท ไชน่าสเตท (Aohong Site) ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-19 00:00:00
,3,บริษัท ฟาร์อีส ค่าเช่า เดือน ตุลาคม 2568,0,0.0,2568-11-04 00:00:00
,4,บริษัท เดลทัล ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-03 00:00:00
,5,Chen Jun (แปลง2) ค่าเช่า เดือน ตุลาคม 2568,0,,11&14 /11 /2568
,6,บริษัท สกายเคม ค่าเช่า เดือน ตุลาคม 2568,0,0.0,2568-11-03 00:00:00
,7,บริษัท บ่อทองอินดัสทรี ค่าเช่า เดือน ตุลาคม 2568,0,0.0,2568-11-05 00:00:00
,8,บริษัท ชานกง ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-26 00:00:00
,9,บริษัท เซียว เซียง - นัน  ค่าเช่า เดือน ตุลาคม 2568,0,,2568-10-29 00:00:00
,10,บริษัท ไสออนนน์ ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-03 00:00:00
,11,บริษัท เฟยจิน  ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-05 00:00:00
,12,บริษัท ไป่หลง ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-01 00:00:00
,13,บริษัท หัวเฉิง  ค่าเช่า เดือน ตุลาคม 2568,0,,2568-10-30 00:00:00
,14,บริษัท กว่างโจว ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-09 00:00:00
,15,บริษัท ออนเนอร์ส  ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-04 00:00:00
,16,บริษัท เมกะ ค่าเช่า เดือน ตุลาคม 2568,0,,2568-10-31 00:00:00
,17,บริษัท บายมิ่ง  ค่าเช่า เดือน ตุลาคม 2568,0,,2568-11-04 00:00:00
,18,บริษัท เดลทัล ประกัน + ล่วงหน้า 20 ห้อง เข้าพัก 1/11/68,,,ค้างชำระ
,19,บริษัท ไสออนนน์ ประกัน + ล่วงหน้า ห้อง4007 เข้าพัก 8/11/2568,0,,2568-11-10 00:00:00
,20,บริษัท บายมิ่ง ประกัน + ล่วงหน้า ห้อง4082 เข้าพัก 6/11/68,0,,2568-11-06 00:00:00
,21,,,,
,22,,,,
,รวม,,,,
