Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,ค้างชำระ เดือน  ธันวาคม - มกราคม 2568,,,,
,ลำดับ,ลูกค้า,ยอด,,วันที่ชำระ
,1,คินวอง ค่าเช่า มกราคม 2569,0,0.0,2569-01-07 00:00:00
,2,ไชน่าสเตท Kinwong Site ค่าเช่า ธันวาคม 2568,0,0.0,2569-01-12 00:00:00
,3,ไชน่าสเตท Aohong Site ค่าเช่า ธันวาคม 2568,0,,2569-01-08 00:00:00
,4,ฟาร์อีส ค่าเช่า ธันวาคม 2568,0,0.0,2569-01-09 00:00:00
,5,เดลทัล ค่าเช่า ธันวาคม 2568,0,,2569-01-23 00:00:00
,6,สกายเคม ค่าเช่า ธันวาคม 2568,0,0.0,2568-12-31 00:00:00
,7,บ่อทองอินดัสทรี ค่าเช่า ธันวาคม 2568,0,0.0,2569-01-06 00:00:00
,8,ชานกง ค่าเช่า ธันวาคม 2568,0,,2569-01-26 00:00:00
,9,เซียวเซียงนัน ค่าเช่า ธันวาคม 2568,0,,2568-12-29 00:00:00
,10,ไสออนนน์ ค่าเช่า ธันวาคม 2568,0,,2569-01-05 00:00:00
,11,เฟยจิน ค่าเช่า ธันวาคม 2568,0,,2568-12-29 00:00:00
,12,ไป่หลง ค่าเช่า ธันวาคม 2568,0,,2569-01-06 00:00:00
,13,หัวเฉิง ค่าเช่า ธันวาคม 2568,0,,2569-01-16 00:00:00
,14,กว่างโจว ค่าเช่า ธันวาคม 2568,0,,2569-01-04 00:00:00
,15,อู้ฟู้ชา ค่าน้ำ ค่าไฟ ธันวาคม 2568,0,,2568-12-31 00:00:00
,16,เมกะ ค่าเช่า ธันวาคม 2568,0,,2569-01-09 00:00:00
,17,อีสเทิร์นไนส์ (ร้านอาหารจีน)  ค่าเช่า ธันวาคม 2568,0,,2569-01-07 00:00:00
,18,บายมิ่ง ค่าเช่า ธันวาคม 2568,0,,2569-01-08 00:00:00
,19,ยูโลจี ค่าเช่า ธันวาคม 2568,0,,2569-01-05 00:00:00
,20,ยู่เฟิง ค่าเช่า ธันวาคม 2568,0,,2568-12-31 00:00:00
,21,ไท่ เต๋อ ฝู ค่าเช่า ธันวาคม 2568,0,,2569-01-10 00:00:00
,22,หมิงเฮา ค่าเช่า ธันวาคม 2568,0,,2568-12-29 00:00:00
,23,ไท่ซาน ประกัน+ล่วงหน้า Suite ห้อง3031 เข้าพัก 3/1/2569,0,,2569-01-06 00:00:00
,24,ไทยเตียว ประกัน + ล่วงหน้า ห้อง4061 เข้าพัก 6/1/2569,0,,2569-01-16 00:00:00
,25,ไทยเตียว ประกัน + ล่วงหน้า ห้อง2026 เข้าพัก 11/1/2569,0,,2569-01-16 00:00:00
,26,ยู่เฟิงประกัน + ล่วงหน้า Studio ห้อง3022 เข้าพัก 7/1/69,0,,2569-01-22 00:00:00
,27,คินวอง ประกัน + ล่วงหน้า Studio 5 ห้อง 3026 3036 3038 3027 3028,0,0.0,2569-01-28 00:00:00
,รวม,,0,,
