Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,ค้างชำระ เดือน พ.ค - มิ.ย 2568,,,,
,ลำดับ,ลูกค้า,ยอด,,
,1,ร้านอาหารจีน ยกเลิกสัญญา - รอขนของออก,0,0.0,2568-07-11 00:00:00
,2,ร้านยำ ร้านอาหารด้านหน้า ค่าไฟ เดือน พ.ค  (มิ.ย ชำระแล้ว),0,,ค้างชำระ
,3,แปลง2  3019 /3029 ( 2ห้อง - ใบแจ้งหนี้ตกหล่น ),0,,2568-07-19 00:00:00
,4,คินวอง,0,0.0,2568-06-04 00:00:00
,5,ไชน่าสเตท,0,0.0,2568-07-09 00:00:00
,6,ไชน่าสเตท Aohong Site,0,,2568-07-09 00:00:00
,7,ฟาร์อีส ห้อง 3035 (ชำระแล้ว)  + ย้ายออก 26 ห้อง,52158,0.0,ค้างชำระ
,8,เดลทัล,0,,2568-07-16 00:00:00
,9,สกายเคม,0,0.0,2568-07-04 00:00:00
,10,เฟยจิน,0,,2568-07-07 00:00:00
,11,นิคม,0,,2568-07-05 00:00:00
,12,ไป่หลง,0,,2568-07-03 00:00:00
,13,ไสออนนน์,0,,2568-06-30 00:00:00
,14,เซียว-เซียงนัน,0,,2568-07-04 00:00:00
,15,ชานกง,0,,16-17 ก.ค 2568
,ค้างชำระรวม,,52158,,
