Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ส.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4057,Studio,4,1121,5,1277.0,1.0,156.0,,,0.0,0.0,30,1248.0,6800.0,-,-,,8078.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-11 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
W,2,4089,Studio,7,645,7,763.0,0.0,118.0,,,0.0,0.0,0,944.0,6800.0,-,-,,7744.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-15 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
W,3,4090,Studio,10,454,13,622.0,3.0,168.0,,,0.0,0.0,90,1344.0,6800.0,-,-,,8234.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-15 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
W,4,4091,Studio,8,569,12,706.0,4.0,137.0,,,0.0,0.0,120,1096.0,6800.0,-,-,,8016.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-21 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
,,,,,,ยูนิตน้ำ+ไฟ,,8.0,579.0,,,0.0,0.0,240,4632.0,27200.0,0,0,,32072.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,53040.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,หักภาษี ณ ที่จ่าย 5%,,1360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,25840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,0,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,30712,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,2568-08-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,30712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
