Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,ค้างชำระ เดือน  ส.ค,,,,
,ลำดับ,ลูกค้า,ยอด,,วันที่ชำระ
,1,ผู้รับเหมา คุณน้ำฝน,0,,2568-09-10 00:00:00
,2,1-4051 2-4115 3-4131,0,,
,3,ค่า internet 2032,0,,2568-09-06 00:00:00
,4,แปลง2,0,,2568-09-11 00:00:00
,5,คินวอง ค่าเช่า ส.ค,0,0.0,2568-08-05 00:00:00
,6,ไชน่าสเตท,0,0.0,2568-09-08 00:00:00
,7,ไชน่าสเตท Aohong Site,0,,2568-09-08 00:00:00
,8,ฟาร์อีส ส.ค,0,0.0,2568-09-09 00:00:00
,9,ร้านอาหารจีน อีสเทิร์นไนส์,0,,2568-09-05 00:00:00
,10,เดลทัล,0,,2568-09-29 00:00:00
,11,สกายเคม,0,0.0,2568-09-01 00:00:00
,12,เฟยจิน,0,,2568-09-01 00:00:00
,13,บ่อทอง อินดัสทรี,0,0.0,2568-09-05 00:00:00
,14,ไป่หลง,0,,2568-09-02 00:00:00
,15,ไสออนนน์,0,,2568-09-03 00:00:00
,16,เซียว-เซียงนัน,0,,2568-08-27 00:00:00
,17,ชานกง,0,,2568-09-09 00:00:00
,,,,,
,,,0,,
